#,File Name,Folder,CDN Link,Type,Size (MB),Dimensions,Date Updated,Description
1,The Calm Code - DRAFT 1_compressed (1).mp4,Root,https://assets.cdn.filesafe.space/5lz2Wm44CNDwLSZWgAPf/media/69c68f1831ffeb5c88ddd28f.mp4,Video,367.26,1920 x 1080,"Mar 27, 2026",Draft video for The Calm Code breathwork program
2,XT5A9095.MOV,Root,https://assets.cdn.filesafe.space/5lz2Wm44CNDwLSZWgAPf/media/c9ab0b4c-d80f-4429-b6a9-28e416c8c6a0.mov,Video,486.41,1920 x 1080,"Mar 26, 2026",Professional camera footage (Canon) - breathwork session/event
3,XT5A9030.MOV,Root,https://assets.cdn.filesafe.space/5lz2Wm44CNDwLSZWgAPf/media/a6997ded-9912-494d-91f5-c0b659be9f7f.mov,Video,282.94,1920 x 1080,"Mar 26, 2026",Professional camera footage (Canon) - breathwork session/event
4,IMG_8961 2.mov,Root,https://assets.cdn.filesafe.space/5lz2Wm44CNDwLSZWgAPf/media/4454ea02-ebee-46ce-9465-e8e7d5997828.mov,Video,75.66,3840 x 2160,"Mar 26, 2026",Mobile video footage - breathwork practice/event
5,IMG_8977.mov,Root,https://assets.cdn.filesafe.space/5lz2Wm44CNDwLSZWgAPf/media/abf93d82-d2fd-490c-bc69-8058ffb5cb0b.mov,Video,65.84,3840 x 2160,"Mar 26, 2026",Mobile video footage - breathwork practice/event
6,IMG_8974.mov,Root,https://assets.cdn.filesafe.space/5lz2Wm44CNDwLSZWgAPf/media/63317e91-bd4a-404d-a077-483b42d4bea3.mov,Video,59.92,3840 x 2160,"Mar 26, 2026",Mobile video footage - breathwork practice/event
7,IMG_8983 2.mov,Root,https://assets.cdn.filesafe.space/5lz2Wm44CNDwLSZWgAPf/media/feaa4568-770a-4e49-9c61-a212ae799c72.mov,Video,52.41,3840 x 2160,"Mar 26, 2026",Mobile video footage - breathwork practice/event
8,XT5A8805.MOV,Root,https://assets.cdn.filesafe.space/5lz2Wm44CNDwLSZWgAPf/media/b60c1737-1f67-4cbc-b6d8-fb9f4674f52e.mov,Video,108.37,1920 x 1080,"Mar 26, 2026",Professional camera footage (Canon) - breathwork session/event
9,IMG_9614.JPG,Root,https://assets.cdn.filesafe.space/5lz2Wm44CNDwLSZWgAPf/media/5f079a98-743b-4ae9-a49a-2306d51c3b6d.jpeg,Image,4.03,5472 x 3648,"Mar 26, 2026",Brand/marketing image
10,240525_BC1_Asha2024-33.jpg,Root,https://assets.cdn.filesafe.space/5lz2Wm44CNDwLSZWgAPf/media/961c6a1a-7eb2-44e8-b085-af1c069cc0e1.jpeg,Image,11.05,4240 x 2832,"Mar 26, 2026",Breathcamp/retreat event photograph
